"file","name","dataset","level","ntips","crown_age"
"condamine/condamine2019_slowdowns/amphibia/Alsodidae.tre","Alsodidae","Condamine 2019","Family",20,56.504487
"condamine/condamine2019_slowdowns/amphibia/Alytidae.tre","Alytidae","Condamine 2019","Family",10,119.75409
"condamine/condamine2019_slowdowns/amphibia/Bombinatoridae.tre","Bombinatoridae","Condamine 2019","Family",10,87.32925
"condamine/condamine2019_slowdowns/amphibia/Caecilidae.tre","Caecilidae","Condamine 2019","Family",31,89.07741
"condamine/condamine2019_slowdowns/amphibia/Eleutherodactylidae.tre","Eleutherodactylidae","Condamine 2019","Family",145,62.70258
"condamine/condamine2019_slowdowns/amphibia/Hynobiidae.tre","Hynobiidae","Condamine 2019","Family",46,134.715343
"condamine/condamine2019_slowdowns/amphibia/Pipidae.tre","Pipidae","Condamine 2019","Family",23,149.50222
"condamine/condamine2019_slowdowns/amphibia/Plethodontidae.tre","Plethodontidae","Condamine 2019","Family",278,103.41745
"condamine/condamine2019_slowdowns/amphibia/Ranidae.tre","Ranidae","Condamine 2019","Family",218,88.65111
"condamine/condamine2019_slowdowns/amphibia/Salamandridae.tre","Salamandridae","Condamine 2019","Family",42,67.183125
"condamine/condamine2019_slowdowns/bird/Acanthizidae.tre","Acanthizidae","Condamine 2019","Family",63,53.97387966
"condamine/condamine2019_slowdowns/bird/Accipitridae.tre","Accipitridae","Condamine 2019","Family",242,52.2683030494
"condamine/condamine2019_slowdowns/bird/Acrocephalidae.tre","Acrocephalidae","Condamine 2019","Family",52,32.91209308
"condamine/condamine2019_slowdowns/bird/Aegithalidae.tre","Aegithalidae","Condamine 2019","Family",10,24.885266917
"condamine/condamine2019_slowdowns/bird/Alaudidae.tre","Alaudidae","Condamine 2019","Family",91,39.1231946531
"condamine/condamine2019_slowdowns/bird/Alcedinidae.tre","Alcedinidae","Condamine 2019","Family",91,34.78976462
"condamine/condamine2019_slowdowns/bird/Alcidae.tre","Alcidae","Condamine 2019","Family",23,15.7747527571
"condamine/condamine2019_slowdowns/bird/Anatidae.tre","Anatidae","Condamine 2019","Family",157,97.8597923
"condamine/condamine2019_slowdowns/bird/Apodidae.tre","Apodidae","Condamine 2019","Family",99,49.690671044
"condamine/condamine2019_slowdowns/bird/Ardeidae.tre","Ardeidae","Condamine 2019","Family",61,46.965944397
"condamine/condamine2019_slowdowns/bird/Artamidae.tre","Artamidae","Condamine 2019","Family",11,10.678012197
"condamine/condamine2019_slowdowns/bird/Bernieridae.tre","Bernieridae","Condamine 2019","Family",11,33.90862342
"condamine/condamine2019_slowdowns/bird/Bucconidae.tre","Bucconidae","Condamine 2019","Family",35,35.651906989
"condamine/condamine2019_slowdowns/bird/Bucerotidae.tre","Bucerotidae","Condamine 2019","Family",55,48.616898815
"condamine/condamine2019_slowdowns/bird/Cacatuidae.tre","Cacatuidae","Condamine 2019","Family",21,21.64860579
"condamine/condamine2019_slowdowns/bird/Campephagidae.tre","Campephagidae","Condamine 2019","Family",80,28.11197724
"condamine/condamine2019_slowdowns/bird/Capitonidae.tre","Capitonidae","Condamine 2019","Family",14,12.348881376
"condamine/condamine2019_slowdowns/bird/Caprimulgidae.tre","Caprimulgidae","Condamine 2019","Family",88,47.6070504
"condamine/condamine2019_slowdowns/bird/Cardinalidae.tre","Cardinalidae","Condamine 2019","Family",68,15.0711963028
"condamine/condamine2019_slowdowns/bird/Certhiidae.tre","Certhiidae","Condamine 2019","Family",10,24.84073098
"condamine/condamine2019_slowdowns/bird/Cettiidae.tre","Cettiidae","Condamine 2019","Family",32,33.9086234324
"condamine/condamine2019_slowdowns/bird/Charadriidae.tre","Charadriidae","Condamine 2019","Family",64,47.46525486
"condamine/condamine2019_slowdowns/bird/Chloropseidae.tre","Chloropseidae","Condamine 2019","Family",11,31.2441526755
"condamine/condamine2019_slowdowns/bird/Ciconiidae.tre","Ciconiidae","Condamine 2019","Family",19,25.0655444557
"condamine/condamine2019_slowdowns/bird/Cisticolidae.tre","Cisticolidae","Condamine 2019","Family",142,23.754642309
"condamine/condamine2019_slowdowns/bird/Columbidae.tre","Columbidae","Condamine 2019","Family",306,35.783182498
"condamine/condamine2019_slowdowns/bird/Conopophagidae.tre","Conopophagidae","Condamine 2019","Family",11,26.462399432
"condamine/condamine2019_slowdowns/bird/Coraciidae.tre","Coraciidae","Condamine 2019","Family",12,17.939741921
"condamine/condamine2019_slowdowns/bird/Corvidae.tre","Corvidae","Condamine 2019","Family",120,29.231154923
"condamine/condamine2019_slowdowns/bird/Cotingidae.tre","Cotingidae","Condamine 2019","Family",65,23.00561934
"condamine/condamine2019_slowdowns/bird/Cracidae.tre","Cracidae","Condamine 2019","Family",50,13.24348902401
"condamine/condamine2019_slowdowns/bird/Cracticidae.tre","Cracticidae","Condamine 2019","Family",12,22.045585982
"condamine/condamine2019_slowdowns/bird/Cuculidae.tre","Cuculidae","Condamine 2019","Family",138,67.173808058
"condamine/condamine2019_slowdowns/bird/Dicaeidae.tre","Dicaeidae","Condamine 2019","Family",45,25.4875590836
"condamine/condamine2019_slowdowns/bird/Dicruridae.tre","Dicruridae","Condamine 2019","Family",24,34.356830059
"condamine/condamine2019_slowdowns/bird/Diomedeidae.tre","Diomedeidae","Condamine 2019","Family",21,25.5185706622
"condamine/condamine2019_slowdowns/bird/Emberizidae.tre","Emberizidae","Condamine 2019","Family",163,18.987148473
"condamine/condamine2019_slowdowns/bird/Estrildidae.tre","Estrildidae","Condamine 2019","Family",140,11.1536162829
"condamine/condamine2019_slowdowns/bird/Eurylaimidae.tre","Eurylaimidae","Condamine 2019","Family",20,38.12254683
"condamine/condamine2019_slowdowns/bird/Falconidae.tre","Falconidae","Condamine 2019","Family",64,38.56722999
"condamine/condamine2019_slowdowns/bird/Formicariidae.tre","Formicariidae","Condamine 2019","Family",12,21.182519456
"condamine/condamine2019_slowdowns/bird/Fringillidae.tre","Fringillidae","Condamine 2019","Family",194,47.4751677196
"condamine/condamine2019_slowdowns/bird/Furnariidae.tre","Furnariidae","Condamine 2019","Family",302,21.129972671
"condamine/condamine2019_slowdowns/bird/Galbulidae.tre","Galbulidae","Condamine 2019","Family",18,41.83782324
"condamine/condamine2019_slowdowns/bird/Glareolidae.tre","Glareolidae","Condamine 2019","Family",17,21.93363089
"condamine/condamine2019_slowdowns/bird/Grallariidae.tre","Grallariidae","Condamine 2019","Family",49,28.3593421728
"condamine/condamine2019_slowdowns/bird/Gruidae.tre","Gruidae","Condamine 2019","Family",15,13.979632805
